,name,subcorpus,mcq,5-shot,category,num_instances,average_len,whitespace,emoji,non_ascii,pattern1,pattern2,pattern3,pattern4,pattern5,pattern_unsure,pattern_unrel
0,typical_time_saq_5shot_nc.json,typical,False,True,Commonsense,5,182.76,0,3,3,0,0,0,0,0,8,2
1,typical_time_saq_5shot_nc.json,typical,False,True,Comparison,5,329.32,0,0,0,4,3,0,2,2,1,0
2,typical_time_saq_5shot_nc.json,typical,False,True,Facts,5,258.88,0,3,12,0,0,0,0,0,11,0
3,typical_time_saq_5shot_nc.json,typical,False,True,Reading Comprehension,1,188.0,0,0,1,0,0,0,0,0,0,0
4,typical_time_mcq_0shot_nc.json,typical,True,False,Commonsense,5,260.48,0,0,3,0,9,0,0,0,1,0
5,typical_time_mcq_0shot_nc.json,typical,True,False,Comparison,5,272.92,0,7,10,2,3,0,0,0,0,0
6,typical_time_mcq_0shot_nc.json,typical,True,False,Facts,5,238.44,0,4,9,0,2,0,0,0,0,0
7,typical_time_mcq_0shot_nc.json,typical,True,False,Reading Comprehension,5,281.28,0,6,11,0,4,0,0,0,0,0
8,frequency_saq_5shot_nc.json,frequency,False,True,Application,5,278.52,0,2,4,1,0,0,1,0,10,6
9,frequency_saq_5shot_nc.json,frequency,False,True,Commonsense,5,243.0,0,2,2,4,0,0,0,0,17,7
10,frequency_saq_5shot_nc.json,frequency,False,True,Comparison,5,202.08,0,0,2,0,0,0,0,0,4,1
11,frequency_saq_5shot_nc.json,frequency,False,True,Computation,5,268.16,0,1,3,3,0,0,0,1,5,3
12,frequency_saq_5shot_nc.json,frequency,False,True,Facts,5,307.48,0,4,10,1,0,0,0,0,11,3
13,nli_mcq_5shot_nc.json,nli,True,True,MNLI,5,300.44,0,0,0,8,0,0,0,1,6,0
14,nli_mcq_5shot_nc.json,nli,True,True,SNLI,5,343.12,0,0,0,8,1,0,0,1,3,0
15,frequency_mcq_5shot_nc.json,frequency,True,True,Application,5,256.0,0,0,3,4,1,1,0,0,0,0
16,frequency_mcq_5shot_nc.json,frequency,True,True,Commonsense,5,214.96,2,0,0,6,0,0,0,0,6,2
17,frequency_mcq_5shot_nc.json,frequency,True,True,Comparison,5,171.92,0,0,1,0,0,0,0,0,1,0
18,frequency_mcq_5shot_nc.json,frequency,True,True,Computation,5,218.76,0,1,5,5,1,0,0,1,1,0
19,frequency_mcq_5shot_nc.json,frequency,True,True,Facts,5,219.84,0,0,6,3,1,0,0,0,9,3
20,storytelling_mcq_0shot_nc.json,storytelling,True,False,ROC,5,282.6,0,5,12,0,1,0,0,0,0,0
21,storytelling_mcq_0shot_nc.json,storytelling,True,False,SCT,5,223.08,0,6,15,2,0,0,0,0,0,0
22,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Application,5,189.4,0,4,10,3,0,0,0,0,3,4
23,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Date Computation,5,235.76,0,2,6,3,2,0,0,0,14,7
24,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Hour Adjustment (12h),5,228.92,0,1,6,1,1,0,0,0,14,1
25,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Hour Adjustment (24h),5,198.36,0,3,11,0,2,0,0,0,5,1
26,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Month Shift,5,288.36,0,4,10,0,0,0,0,0,3,0
27,arithmetic_saq_5shot_nc.json,arithmetic,False,True,Time Computation,5,159.8,0,1,8,0,1,0,0,0,4,1
